Rank,Title,Author,Category,Sub-Genre,Format,Price (USD),Rating,Reviews,Weeks on List,Publisher,Year Published,ISBN,Amazon BSR,Amazon URL
1,The Let Them Theory,Mel Robbins,Non-Fiction,Self-Help,Paperback,14.99,4.7,98000.0,52.0,Hay House,2024.0,978-1-13278-859-4,112.0,View
2,The Dinner Party,Freida McFadden,Fiction,Psychological Thriller,Paperback,11.69,4.3,1800.0,12.0,Sourcebooks Landmark,2025.0,978-3-76237-716-0,175.0,View
3,Project Hail Mary,Andy Weir,Fiction,Science Fiction,Paperback,12.99,4.8,130000.0,108.0,Ballantine Books,2021.0,978-4-30379-320-5,64.0,View
4,The Correspondent: A Novel,Virginia Evans,Fiction,Literary Fiction,Hardcover,19.58,4.6,87363.0,28.0,Random House,2025.0,978-6-20328-665-4,143.0,View
5,Atomic Habits,James Clear,Non-Fiction,Self-Help / Productivity,Paperback,16.99,4.8,120000.0,220.0,Avery,2018.0,978-7-93320-954-5,237.0,View
6,A Court of Thorns and Roses,Sarah J. Maas,Fiction,Romantasy,Paperback,11.99,4.7,85000.0,260.0,Bloomsbury Publishing,2015.0,978-6-45382-755-8,468.0,View
7,House of Flame and Shadow,Sarah J. Maas,Fiction,Romantasy,Hardcover,22.49,4.8,42000.0,32.0,Bloomsbury Publishing,2024.0,978-9-51245-317-7,460.0,View
8,Fourth Wing,Rebecca Yarros,Fiction,Romantasy,Hardcover,18.99,4.6,77000.0,50.0,Entangled: Red Tower Books,2023.0,978-9-62350-470-3,198.0,View
9,The Body Keeps the Score,Bessel van der Kolk,Non-Fiction,Psychology / Health,Paperback,16.49,4.7,95000.0,150.0,Penguin Books,2014.0,978-6-88104-579-8,81.0,View
10,The Anxious Generation,Jonathan Haidt,Non-Fiction,Psychology / Society,Hardcover,21.99,4.5,18000.0,28.0,Penguin Press,2024.0,978-7-10425-839-4,277.0,View
11,Dog Man: Big Jim Believes,Dav Pilkey,Fiction,Children's / Graphic Novel,Hardcover,9.49,4.9,12000.0,15.0,Graphix,2024.0,978-8-10074-713-5,375.0,View
12,"Oh, the Places You'll Go!",Dr. Seuss,Fiction,Children's Picture Book,Hardcover,12.99,4.9,60000.0,1200.0,Random House,1990.0,978-7-19071-878-8,387.0,View
13,It's Not Her,Mary Kubica,Fiction,Psychological Thriller,Hardcover,19.99,4.2,3500.0,8.0,Park Row,2026.0,978-3-50857-508-5,118.0,View
14,Stress Relief Coloring Book,Various Artists,Non-Fiction,Activity / Coloring,Paperback,9.99,4.6,22000.0,40.0,Independently Published,2023.0,978-9-38864-107-1,110.0,View
15,"Dad, I Want to Hear Your Story",Jeffrey Mason,Non-Fiction,Gift / Journal,Hardcover,14.99,4.8,45000.0,130.0,Hear Your Story Books,2019.0,978-8-27342-840-9,211.0,View
16,The Hunger Games Boxed Set,Suzanne Collins,Fiction,YA Dystopian,Paperback,24.99,4.8,55000.0,350.0,Scholastic Press,2010.0,978-7-17100-789-1,217.0,View
17,Memorial Days,Alysia Abbott,Non-Fiction,Memoir,Hardcover,20.0,4.5,5400.0,14.0,Norton,2025.0,978-2-46509-573-3,209.0,View
18,Atmosphere,Taylor Jenkins Reid,Fiction,Historical Fiction,Hardcover,21.0,4.6,31000.0,20.0,Ballantine Books,2025.0,978-7-73092-318-6,339.0,View
19,Wild Dark Shore,Charlotte McConaghy,Fiction,Climate Fiction,Hardcover,22.0,4.4,9800.0,18.0,Flatiron Books,2024.0,978-7-30289-294-4,81.0,View
20,How To Draw Everything,Angela Rizza,Non-Fiction,Art / Activity,Paperback,12.99,4.7,14000.0,22.0,Walter Foster Jr.,2023.0,978-0-76562-182-2,162.0,View
21,The Housemaid,Freida McFadden,Fiction,Psychological Thriller,Paperback,10.99,4.5,93000.0,93.0,Sourcebooks Landmark,2022.0,978-4-36772-785-5,4613.0,View
22,Dear Debbie,Freida McFadden,Fiction,Psychological Thriller,Paperback,11.99,4.4,8200.0,18.0,Sourcebooks Landmark,2025.0,978-1-19602-650-3,4451.0,View
23,Iron Flame,Rebecca Yarros,Fiction,Romantasy,Hardcover,21.99,4.7,55000.0,40.0,Entangled: Red Tower Books,2023.0,978-4-90173-926-8,2232.0,View
24,A Court of Silver Flames,Sarah J. Maas,Fiction,Romantasy,Paperback,12.99,4.8,72000.0,150.0,Bloomsbury Publishing,2021.0,978-4-89276-315-5,30.0,View
25,Spare,Prince Harry,Non-Fiction,Memoir,Hardcover,18.0,4.2,41000.0,60.0,Random House,2023.0,978-5-27146-752-4,296.0,View
26,Never Never,Colleen Hoover,Fiction,Contemporary Romance,Paperback,10.99,4.3,28000.0,80.0,Hoover Ink,2023.0,978-5-86350-665-2,2898.0,View
27,It Ends with Us,Colleen Hoover,Fiction,Contemporary Romance,Paperback,10.49,4.3,220000.0,200.0,Atria Books,2016.0,978-8-63264-735-2,1305.0,View
28,Ugly Love,Colleen Hoover,Fiction,Contemporary Romance,Paperback,9.99,4.2,130000.0,140.0,Atria Books,2014.0,978-1-60140-993-0,3265.0,View
